일자,시가,고가,저가,종가,익일기준가,전일대비,내재변동성 (%),거래량 (계약),거래대금 (백만원),미결제약정 (계약),거래승수
"2017/12/14","0.01","0.01","0.01",0.01,"0.00","-0.01","28.00","988","2","0","250,000"
"2017/12/13","0.01","0.03","0.01",0.01,"0.01","0.00","22.00","12,553","40","53,612","250,000"
"2017/12/12","0.01","0.01","0.01",0.01,"0.01","0.00","20.00","3,395","8","55,140","250,000"
"2017/12/11","0.02","0.02","0.01",0.01,"0.01","-0.02","16.00","51,728","141","55,516","250,000"
"2017/12/08","0.03","0.04","0.01",0.01,"0.03","0.00","13.00","82,748","572","63,953","250,000"
"2017/12/07","0.06","0.06","0.03",0.03,"0.03","-0.02","14.00","83,213","833","68,979","250,000"
"2017/12/06","0.14","0.15","0.04",0.05,"0.05","-0.11","14.00","230,394","4,971","74,944","250,000"
"2017/12/05","0.11","0.26","0.09",0.16,"0.16","-0.02","11.00","197,843","8,257","70,043","250,000"
"2017/12/04","0.10","0.19","0.08",0.18,"0.18","0.04","12.00","136,121","4,163","65,797","250,000"
"2017/12/01","0.17","0.18","0.09",0.10,"0.14","-0.33","12.00","120,792","4,346","62,100","250,000"
"2017/11/30","0.30","0.34","0.12",0.14,"0.47","0.00","12.00","215,362","12,448","52,023","250,000"
"2017/11/29","0.53","0.69","0.43",0.47,"0.47","0.01","11.00","118,675","15,386","58,202","250,000"
"2017/11/28","0.50","0.58","0.31",0.46,"0.46","-0.01","10.00","190,091","21,634","56,543","250,000"
"2017/11/27","1.61","1.64","0.47",0.47,"0.47","-0.90","11.00","214,264","43,956","53,705","250,000"
"2017/11/24","1.47","1.55","1.16",1.53,"1.37","0.00","9.00","71,803","24,554","37,926","250,000"
"2017/11/23","1.78","1.81","1.33",1.37,"1.37","-0.36","10.00","69,966","26,666","36,683","250,000"
"2017/11/22","1.87","2.37","1.52",1.73,"1.73","0.42","10.00","115,083","52,949","35,994","250,000"
"2017/11/21","1.31","1.62","1.13",1.31,"1.31","0.24","10.00","104,935","35,516","37,828","250,000"
"2017/11/20","1.56","1.78","1.04",1.07,"1.07","-0.53","9.00","126,493","42,535","37,328","250,000"
"2017/11/17","2.05","2.92","1.42",1.42,"1.60","0.00","9.00","142,565","75,605","31,589","250,000"
"2017/11/16","1.32","1.79","1.19",1.60,"1.60","0.40","9.00","98,646","37,118","30,890","250,000"
"2017/11/15","1.57","1.60","1.14",1.20,"1.20","-0.52","9.00","110,545","36,704","30,359","250,000"
"2017/11/14","1.88","2.01","1.58",1.72,"1.72","-0.19","10.00","71,311","31,530","23,461","250,000"
"2017/11/13","2.42","2.90","1.88",1.91,"1.91","-1.26","10.00","97,290","53,150","21,741","250,000"
"2017/11/10","2.46","2.90","2.31",2.35,"3.17","0.00","9.00","82,147","53,000","17,260","250,000"
"2017/11/09","4.45","4.46","2.77",3.17,"3.17","-1.06","10.00","8,392","7,151","14,146","250,000"
"2017/11/08","3.27","4.84","3.10",4.23,"4.23","0.46","11.00","3,180","3,144","12,158","250,000"
"2017/11/07","3.93","4.42","3.70",3.77,"3.77","-0.20","11.00","2,593","2,634","12,149","250,000"
"2017/11/06","4.65","4.74","3.10",3.97,"3.97","-0.48","11.00","3,127","2,992","12,082","250,000"
"2017/11/03","4.75","5.05","3.80",5.00,"4.45","0.00","11.00","3,526","3,793","11,921","250,000"
"2017/11/02","5.05","5.10","4.14",4.45,"4.45","-0.74","11.00","3,056","3,533","11,969","250,000"
"2017/11/01","3.36","5.19","3.20",5.19,"5.19","3.57","11.00","6,225","6,790","12,160","250,000"
"2017/10/31","1.65","2.72","1.47",2.56,"1.62","0.00","10.00","4,946","2,576","11,048","250,000"
"2017/10/30","1.93","1.95","1.53",1.62,"1.62","0.58","10.00","1,680","712","10,239","250,000"
"2017/10/27","1.16","1.57","1.06",1.51,"1.04","0.00","10.00","2,778","895","10,202","250,000"
"2017/10/26","1.52","1.57","1.04",1.04,"1.04","-0.56","10.00","2,809","979","10,269","250,000"
"2017/10/25","1.67","1.76","1.44",1.60,"1.60","-0.06","10.00","3,081","1,236","9,961","250,000"
"2017/10/24","1.72","1.83","1.62",1.66,"1.66","-0.10","10.00","1,564","666","10,073","250,000"
"2017/10/23","1.80","1.94","1.62",1.76,"1.76","0.49","10.00","1,722","749","10,197","250,000"
"2017/10/20","1.31","1.63","1.30",1.63,"1.27","0.00","10.00","1,439","530","10,013","250,000"
"2017/10/19","1.80","1.85","1.24",1.27,"1.27","-0.37","10.00","1,831","674","10,057","250,000"
"2017/10/18","1.68","1.94","1.54",1.64,"1.64","-0.08","10.00","1,792","781","9,724","250,000"
"2017/10/17","1.70","1.83","1.64",1.72,"1.72","0.02","10.00","1,101","481","9,777","250,000"
"2017/10/16","1.84","1.98","1.57",1.70,"1.70","-0.29","10.00","1,174","499","9,625","250,000"
"2017/10/13","1.88","1.88","1.57",1.66,"1.99","0.00","10.00","1,507","659","9,708","250,000"
"2017/10/12","1.62","1.99","1.59",1.99,"1.99","0.38","10.00","2,216","984","9,364","250,000"
"2017/10/11","1.23","1.68","1.20",1.61,"1.61","0.51","10.00","1,877","668","8,499","250,000"
"2017/10/10","0.99","1.57","0.99",1.10,"1.10","0.64","10.00","3,285","1,027","8,402","250,000"
"2017/09/29","0.58","0.67","0.53",0.67,"0.46","0.00","11.00","348","52","9,528","250,000"
"2017/09/28","0.42","0.51","0.41",0.46,"0.46","0.04","11.00","226","26","9,456","250,000"
"2017/09/27","0.51","0.51","0.41",0.42,"0.42","-0.09","10.00","1,315","145","9,454","250,000"
"2017/09/26","0.55","0.55","0.48",0.51,"0.51","-0.13","10.00","424","56","8,735","250,000"
"2017/09/25","0.73","0.76","0.60",0.64,"0.64","-0.32","10.00","104","17","8,802","250,000"
"2017/09/22","0.96","1.00","0.67",0.73,"0.96","0.00","10.00","1,243","234","8,804","250,000"
"2017/09/21","0.99","1.00","0.91",0.96,"0.96","-0.05","10.00","131","31","8,000","250,000"
"2017/09/20","1.07","1.17","0.90",1.01,"1.01","0.02","11.00","321","81","7,943","250,000"
"2017/09/19","1.01","1.04","0.97",0.99,"0.99","-0.08","10.00","956","245","7,975","250,000"
"2017/09/18","0.55","1.07","0.55",1.07,"1.07","0.58","10.00","1,504","353","8,432","250,000"
"2017/09/15","0.43","0.50","0.39",0.50,"0.49","0.00","10.00","601","62","7,927","250,000"
"2017/09/14","0.50","0.50","0.43",0.49,"0.49","-0.01","10.00","131","15","7,626","250,000"
"2017/09/13","0.52","0.56","0.48",0.50,"0.50","-0.01","11.00","175","23","7,584","250,000"
"2017/09/12","0.59","0.60","0.41",0.51,"0.51","-0.06","11.00","135","17","7,573","250,000"
"2017/09/11","0.53","0.61","0.53",0.57,"0.57","0.13","11.00","96","14","7,610","250,000"
"2017/09/08","0.45","0.46","0.41",0.46,"0.44","0.00","11.00","45","5","7,647","250,000"
"2017/09/07","0.36","0.45","0.36",0.44,"0.44","0.08","11.00","419","42","7,625","250,000"
"2017/09/06","0.34","0.37","0.34",0.36,"0.36","-0.01","12.00","349","30","7,599","250,000"
"2017/09/05","0.36","0.37","0.34",0.37,"0.37","0.01","12.00","177","16","7,531","250,000"
"2017/09/04","0.43","0.44","0.35",0.36,"0.36","-0.18","11.00","290","30","7,601","250,000"
"2017/09/01","0.55","0.56","0.49",0.49,"0.54","-0.07","11.00","94","12","7,631","250,000"
"2017/08/31","0.60","0.60","0.51",0.54,"0.61","0.00","11.00","120","16","7,604","250,000"
"2017/08/30","0.59","0.61","0.57",0.61,"0.61","0.05","11.00","21","3","7,557","250,000"
"2017/08/29","0.61","0.61","0.46",0.56,"0.56","-0.13","11.00","316","41","7,557","250,000"
"2017/08/28","0.66","0.69","0.64",0.69,"0.69","-0.01","11.00","13","2","7,495","250,000"
"2017/08/25","0.75","0.86","0.75",0.76,"0.70","0.00","11.00","295","59","7,502","250,000"
"2017/08/24","0.66","0.75","0.66",0.70,"0.70","0.05","10.00","31","6","7,522","250,000"
"2017/08/23","0.69","0.69","0.63",0.65,"0.65","0.02","11.00","105","18","7,530","250,000"
"2017/08/22","0.61","0.63","0.61",0.63,"0.63","0.09","11.00","1,307","196","7,492","250,000"
"2017/08/21","0.56","0.56","0.54",0.54,"0.54","-0.09","10.00","34","5","6,385","250,000"
"2017/08/18","0.53","0.61","0.50",0.59,"0.63","0.00","10.00","2,189","315","6,386","250,000"
"2017/08/17","0.61","0.65","0.58",0.63,"0.63","0.02","10.00","34","5","7,003","250,000"
"2017/08/16","0.72","0.72","0.61",0.61,"0.61","-0.12","11.00","192","32","6,982","250,000"
"2017/08/14","0.66","0.74","0.64",0.66,"0.73","-0.13","12.00","123","21","7,064","250,000"
"2017/08/11","0.77","0.82","0.73",0.73,"0.86","0.00","12.00","1,139","215","7,108","250,000"
"2017/08/10","0.81","0.88","0.80",0.86,"0.86","0.00","11.00","849","192","6,447","250,000"
"2017/08/09","0.92","0.94","0.85",0.86,"0.86","-0.18","11.00","2,546","573","6,602","250,000"
"2017/08/08","1.27","1.27","1.00",1.04,"1.04","-0.23","10.00","51","13","6,109","250,000"
"2017/08/07","1.31","1.44","1.27",1.27,"1.27","0.07","10.00","20","7","6,103","250,000"
"2017/08/04","1.30","1.30","1.15",1.30,"1.20","0.00","10.00","425","148","6,111","250,000"
"2017/08/03","1.32","1.32","1.20",1.20,"1.20","-0.54","11.00","7","2","5,717","250,000"
"2017/08/02","1.75","1.76","1.74",1.74,"1.74","-0.10","10.00","6","3","5,716","250,000"
"2017/08/01","1.52","1.91","1.52",1.84,"1.84","0.42","10.00","29","13","5,713","250,000"
"2017/07/31","1.29","1.39","1.26",1.36,"1.42","-0.88","10.00","34","11","5,713","250,000"
"2017/07/28","1.90","1.90","1.42",1.42,"2.30","0.00","10.00","296","122","5,693","250,000"
"2017/07/27","2.30","2.35","2.30",2.30,"2.30","0.09","10.00","20","12","5,706","250,000"
"2017/07/26","2.25","2.25","2.20",2.21,"2.21","-0.34","10.00","20","11","5,714","250,000"
"2017/07/25","2.77","2.77","2.55",2.55,"2.55","-0.24","10.00","201","129","5,722","250,000"
"2017/07/24","2.90","2.90","2.79",2.79,"2.79","-0.08","10.00","116","83","5,733","250,000"
"2017/07/21","2.86","3.05","2.83",2.96,"2.87","0.00","10.00","557","351","5,745","250,000"
"2017/07/20","2.55","2.90","2.55",2.87,"2.87","0.41","10.00","1,024","637","5,263","250,000"
"2017/07/19","2.45","2.46","2.40",2.46,"2.46","-0.07","11.00","5","3","5,384","250,000"
"2017/07/18","2.56","2.56","2.52",2.53,"2.53","-0.07","11.00","309","196","5,380","250,000"
"2017/07/17","3.00","3.00","2.60",2.60,"2.60","-0.12","11.00","102","69","5,383","250,000"
"2017/07/14","2.90","2.90","2.45",2.45,"2.72","0.00","11.00","310","202","5,384","250,000"
"2017/07/13","2.35","2.97","2.35",2.72,"2.72","0.76","11.00","525","362","5,399","250,000"
"2017/07/12","2.11","2.14","1.96",1.96,"1.96","-0.13","11.00","71","37","5,558","250,000"
"2017/07/11","1.90","2.09","1.90",2.09,"2.09","0.24","11.00","1,447","723","5,527","250,000"
"2017/07/10","1.88","2.01","1.81",1.85,"1.85","-0.29","11.00","823","376","4,125","250,000"
"2017/07/07","1.98","2.01","1.72",1.81,"2.14","0.00","11.00","516","255","3,899","250,000"
"2017/07/06","2.20","2.20","2.04",2.14,"2.14","-0.11","11.00","201","105","3,541","250,000"
"2017/07/05","2.16","2.33","2.12",2.25,"2.25","0.03","12.00","68","37","3,672","250,000"
"2017/07/04","2.51","2.51","2.22",2.22,"2.22","-0.10","12.00","161","100","3,679","250,000"
"2017/07/03","2.49","2.49","2.29",2.32,"2.32","-0.37","12.00","55","33","3,792","250,000"
"2017/06/30","2.42","2.45","2.32",2.45,"2.69","0.00","12.00","236","141","3,771","250,000"
"2017/06/29","2.89","3.01","2.65",2.69,"2.69","0.27","12.00","261","179","3,843","250,000"
"2017/06/28","2.38","2.60","2.38",2.42,"2.42","-0.22","12.00","112","70","3,938","250,000"
"2017/06/27","2.61","2.86","2.59",2.64,"2.64","-0.01","12.00","1,483","991","3,965","250,000"
"2017/06/26","2.35","2.74","2.35",2.65,"2.65","0.49","12.00","262","167","5,039","250,000"
"2017/06/23","2.14","2.37","2.11",2.32,"2.16","0.00","12.00","480","266","5,110","250,000"
"2017/06/22","2.05","2.16","1.93",2.16,"2.16","0.18","12.00","109","55","5,390","250,000"
"2017/06/21","2.00","2.07","1.89",1.98,"1.98","-0.26","12.00","278","137","5,391","250,000"
"2017/06/20","2.45","2.48","2.24",2.24,"2.24","0.06","12.00","447","265","5,310","250,000"
"2017/06/19","1.87","2.33","1.87",2.18,"2.18","0.25","12.00","483","262","5,204","250,000"
"2017/06/16","2.01","2.09","1.86",1.98,"1.93","0.00","12.00","399","195","4,962","250,000"
"2017/06/15","2.15","2.30","1.87",1.93,"1.93","-0.30","12.00","971","490","4,739","250,000"
"2017/06/14","2.41","2.63","2.11",2.23,"2.23","0.06","12.00","1,406","827","4,266","250,000"
"2017/06/13","1.91","2.26","1.91",2.17,"2.17","0.26","12.00","403","214","3,525","250,000"
"2017/06/12","2.30","2.37","1.88",1.91,"1.91","-0.44","12.00","1,441","734","3,571","250,000"
"2017/06/09","2.35","2.85","2.18",2.61,"2.35","0.00","12.00","1,032","661","2,331","250,000"
"2017/06/08","2.39","2.41","2.15",2.35,"2.35","-0.06","13.00","844","481","2,261","250,000"
"2017/06/07","2.89","2.89","2.37",2.41,"2.41","1.17","13.00","846","543","2,032","250,000"
"2017/06/05","2.90","3.06","2.81",2.89,"1.24","0.00","13.00","1,430","1,053","1,351","250,000"
