일자,시가,고가,저가,종가,익일기준가,전일대비,내재변동성 (%),거래량 (계약),거래대금 (백만원),미결제약정 (계약),거래승수
"2017/12/14","0.03","0.04","0.01",0.01,"0.00","-0.13","14.00","201,942","1,340","0","250,000"
"2017/12/13","0.76","1.09","0.10",0.13,"0.13","-0.95","11.00","442,978","45,493","53,931","250,000"
"2017/12/12","0.90","1.41","0.77",1.08,"1.08","0.09","15.00","193,849","52,831","37,180","250,000"
"2017/12/11","1.04","1.50","0.83",0.99,"0.99","-0.79","15.00","153,204","43,700","35,881","250,000"
"2017/12/08","1.40","1.92","1.05",1.20,"1.78","0.00","12.00","150,969","54,459","34,119","250,000"
"2017/12/07","1.32","2.48","1.30",1.78,"1.78","0.14","12.00","200,913","88,910","33,411","250,000"
"2017/12/06","0.65","1.75","0.63",1.64,"1.64","0.98","12.00","223,987","62,344","36,965","250,000"
"2017/12/05","1.26","1.44","0.63",0.66,"0.66","-0.32","13.00","166,603","36,696","42,221","250,000"
"2017/12/04","1.43","1.92","0.92",0.98,"0.98","-1.00","14.00","132,006","46,982","33,036","250,000"
"2017/12/01","1.58","2.33","1.46",1.92,"1.98","1.29","11.00","144,531","64,602","33,937","250,000"
"2017/11/30","1.13","2.40","0.86",1.98,"0.69","0.00","12.00","194,833","65,730","40,452","250,000"
"2017/11/29","0.66","0.86","0.56",0.69,"0.69","-0.02","12.00","84,981","15,413","40,664","250,000"
"2017/11/28","0.90","1.06","0.57",0.71,"0.71","-0.39","12.00","137,618","26,954","39,320","250,000"
"2017/11/27","0.34","1.12","0.32",1.10,"1.10","0.62","12.00","173,563","35,536","39,492","250,000"
"2017/11/24","0.42","0.50","0.35",0.38,"0.48","0.00","12.00","38,835","4,073","28,028","250,000"
"2017/11/23","0.38","0.50","0.37",0.48,"0.48","0.06","12.00","39,864","4,274","27,786","250,000"
"2017/11/22","0.37","0.53","0.32",0.42,"0.42","-0.11","12.00","107,687","11,126","27,907","250,000"
"2017/11/21","0.59","0.73","0.49",0.53,"0.53","-0.28","11.00","88,164","12,847","37,055","250,000"
"2017/11/20","0.59","0.89","0.50",0.81,"0.81","0.07","12.00","117,828","19,602","31,537","250,000"
"2017/11/17","0.51","0.70","0.34",0.70,"0.74","0.00","11.00","120,374","15,720","23,893","250,000"
"2017/11/16","1.04","1.20","0.60",0.74,"0.74","-0.49","11.00","63,016","14,117","19,550","250,000"
"2017/11/15","1.01","1.35","0.95",1.23,"1.23","0.27","12.00","87,758","25,033","17,580","250,000"
"2017/11/14","0.95","1.10","0.84",0.96,"0.96","0.01","12.00","68,605","16,365","17,699","250,000"
"2017/11/13","0.76","1.07","0.58",0.95,"0.95","0.11","12.00","77,814","16,708","18,327","250,000"
"2017/11/10","1.09","1.14","0.70",0.78,"0.84","0.00","11.00","78,338","16,783","16,199","250,000"
"2017/11/09","0.98","1.14","0.75",0.84,"0.84","-0.24","12.00","19,434","4,473","11,065","250,000"
"2017/11/08","1.66","1.66","1.05",1.08,"1.08","-0.28","14.00","6,815","2,111","6,743","250,000"
"2017/11/07","1.37","1.47","1.09",1.36,"1.36","-0.05","14.00","4,209","1,344","6,321","250,000"
"2017/11/06","1.08","1.77","1.03",1.41,"1.41","0.25","14.00","5,057","1,757","5,336","250,000"
"2017/11/03","1.04","1.43","0.97",1.06,"1.16","0.00","13.00","3,345","1,038","4,621","250,000"
"2017/11/02","0.99","1.31","0.96",1.16,"1.16","0.15","13.00","2,898","806","3,824","250,000"
"2017/11/01","1.23","1.26","1.01",1.01,"1.01","-1.35","13.00","4,310","1,192","2,914","250,000"
"2017/10/31","2.38","2.44","1.45",1.50,"2.36","0.00","11.00","1,837","819","1,071","250,000"
"2017/10/30","2.24","2.49","2.20",2.36,"2.36","-0.99","12.00","203","118","533","250,000"
"2017/10/27","3.10","3.14","2.55",2.61,"3.35","0.00","11.00","152","110","485","250,000"
"2017/10/26","2.90","3.35","2.78",3.35,"3.35","0.48","11.00","140","102","458","250,000"
"2017/10/25","2.70","3.20","2.65",2.87,"2.87","0.10","12.00","104","72","426","250,000"
"2017/10/24","2.90","2.90","2.66",2.77,"2.77","-0.05","11.00","49","34","416","250,000"
"2017/10/23","2.81","3.11","2.80",2.82,"2.82","-0.95","12.00","99","72","410","250,000"
"2017/10/20","3.50","3.55","3.06",3.07,"3.77","0.00","11.00","199","165","371","250,000"
"2017/10/19","3.28","3.89","3.03",3.77,"3.77","0.41","11.00","92","81","279","250,000"
"2017/10/18","3.20","3.64","3.16",3.36,"3.36","-0.03","11.00","72","61","264","250,000"
