일자,시가,고가,저가,종가,익일기준가,전일대비,내재변동성 (%),거래량 (계약),거래대금 (백만원),미결제약정 (계약),거래승수
"2017/12/14","3.09","3.29","0.24",2.42,"0.00","-4.00","19.00","576,889","135,987","0","250,000"
"2017/12/13","5.79","6.70","3.57",4.00,"4.00","-2.32","14.00","9,610","10,631","32,509","250,000"
"2017/12/12","5.37","6.80","5.07",6.32,"6.32","0.84","19.00","1,836","2,825","32,446","250,000"
"2017/12/11","5.39","6.72","5.07",5.48,"5.48","-1.06","16.00","2,400","3,473","32,577","250,000"
"2017/12/08","5.86","6.94","5.21",5.73,"6.54","0.00","12.00","1,890","2,732","33,142","250,000"
"2017/12/07","5.15","7.77","5.00",6.54,"6.54","0.70","10.00","6,146","9,825","33,332","250,000"
"2017/12/06","2.68","6.03","2.64",5.84,"5.84","3.17","11.00","37,339","34,410","34,570","250,000"
"2017/12/05","4.47","4.95","2.56",2.67,"2.67","-0.99","11.00","30,343","23,121","34,802","250,000"
"2017/12/04","4.88","6.02","3.53",3.66,"3.66","-2.11","13.00","6,942","7,982","33,633","250,000"
"2017/12/01","5.16","6.55","4.85",5.92,"5.77","3.25","10.00","7,252","9,892","34,486","250,000"
"2017/11/30","3.70","6.66","3.07",5.77,"2.52","0.00","11.00","42,033","42,869","36,260","250,000"
"2017/11/29","2.38","2.90","2.00",2.52,"2.52","-0.05","10.00","82,306","51,636","37,420","250,000"
"2017/11/28","3.13","3.58","2.24",2.57,"2.57","-1.03","11.00","79,205","54,753","37,750","250,000"
"2017/11/27","1.23","3.60","1.18",3.60,"3.60","2.03","11.00","141,306","88,341","38,748","250,000"
"2017/11/24","1.43","1.73","1.23",1.32,"1.57","0.00","10.00","69,366","25,373","38,977","250,000"
"2017/11/23","1.25","1.69","1.23",1.57,"1.57","0.24","10.00","75,874","27,718","36,939","250,000"
"2017/11/22","1.38","1.69","1.07",1.33,"1.33","-0.52","10.00","92,991","31,381","36,552","250,000"
"2017/11/21","1.90","2.29","1.64",1.85,"1.85","-0.61","10.00","80,337","38,552","31,377","250,000"
"2017/11/20","1.75","2.60","1.59",2.46,"2.46","0.48","11.00","122,356","63,623","28,790","250,000"
"2017/11/17","1.54","2.08","1.02",2.03,"1.98","0.00","10.00","121,824","46,882","28,093","250,000"
"2017/11/16","2.61","2.92","1.79",1.98,"1.98","-1.02","10.00","57,371","33,434","23,153","250,000"
"2017/11/15","2.45","3.23","2.37",3.00,"3.00","0.72","10.00","99,196","68,687","22,833","250,000"
"2017/11/14","2.27","2.62","2.09",2.28,"2.28","-0.02","10.00","78,118","45,801","22,166","250,000"
"2017/11/13","1.86","2.52","1.44",2.30,"2.30","0.22","10.00","108,840","56,963","21,803","250,000"
"2017/11/10","2.49","2.58","1.69",1.85,"2.08","0.00","10.00","88,397","45,563","21,480","250,000"
"2017/11/09","1.96","2.59","1.72",2.08,"2.08","-0.10","11.00","15,663","8,097","11,901","250,000"
"2017/11/08","3.01","3.18","2.05",2.18,"2.18","-0.56","12.00","7,111","4,274","8,940","250,000"
"2017/11/07","2.64","2.82","2.13",2.74,"2.74","0.06","13.00","4,272","2,627","7,933","250,000"
"2017/11/06","2.21","3.37","2.03",2.68,"2.68","0.23","13.00","6,816","4,539","7,900","250,000"
"2017/11/03","2.11","2.80","1.98",2.07,"2.45","0.00","12.00","2,667","1,570","6,551","250,000"
"2017/11/02","2.05","2.63","1.96",2.45,"2.45","0.40","12.00","2,813","1,610","6,074","250,000"
"2017/11/01","2.39","2.72","2.04",2.05,"2.05","-2.68","11.00","5,386","3,022","5,401","250,000"
"2017/10/31","4.75","4.75","3.07",3.20,"4.73","0.00","10.00","1,062","952","4,284","250,000"
"2017/10/30","4.00","4.98","4.00",4.73,"4.73","-1.83","11.00","274","316","4,070","250,000"
"2017/10/27","6.56","6.56","5.02",5.15,"6.56","0.00","10.00","109","147","3,955","250,000"
"2017/10/26","5.52","6.56","5.32",6.56,"6.56","1.11","10.00","988","1,395","3,928","250,000"
"2017/10/25","5.40","6.08","5.11",5.45,"5.45","0.04","11.00","622","839","3,383","250,000"
"2017/10/24","5.30","5.44","5.06",5.41,"5.41","0.11","10.00","176","230","2,968","250,000"
"2017/10/23","5.18","5.79","5.10",5.30,"5.30","-1.52","10.00","278","377","2,976","250,000"
"2017/10/20","6.33","6.49","5.72",5.73,"6.82","0.00","10.00","127","194","2,787","250,000"
"2017/10/19","5.64","6.97","5.64",6.82,"6.82","0.76","10.00","186","296","2,759","250,000"
"2017/10/18","6.20","6.58","5.84",6.06,"6.06","0.06","10.00","1,646","2,381","2,766","250,000"
"2017/10/17","6.30","6.30","5.21",6.00,"6.00","-0.35","11.00","99","144","1,319","250,000"
"2017/10/16","6.10","6.70","5.79",6.35,"6.35","-0.35","10.00","1,058","1,567","1,258","250,000"
"2017/10/13","6.90","7.10","6.32",6.73,"6.70","0.00","10.00","708","1,170","1,394","250,000"
"2017/10/12","7.50","7.70","6.70",6.70,"6.70","-1.35","11.00","745","1,394","834","250,000"
"2017/10/11","8.90","8.90","8.05",8.05,"8.05","-2.15","11.00","34","72","191","250,000"
"2017/10/10","9.40","10.20","9.40",10.20,"10.20","-5.85","11.00","42","103","166","250,000"
"2017/09/29","0.00","0.00","0.00",0.00,"16.05","0.00","10.00","0","0","124","250,000"
"2017/09/28","15.85","16.05","15.85",16.05,"16.05","-0.15","9.00","6","24","124","250,000"
"2017/09/27","0.00","0.00","0.00",0.00,"16.20","-0.55","9.00","0","0","124","250,000"
"2017/09/26","16.75","16.75","16.75",16.75,"16.75","2.30","11.00","1","4","124","250,000"
"2017/09/25","0.00","0.00","0.00",0.00,"14.45","1.60","10.00","0","0","123","250,000"
"2017/09/22","15.00","15.35","14.50",15.00,"12.85","0.00","11.00","19","71","123","250,000"
"2017/09/21","0.00","0.00","0.00",0.00,"12.85","-0.20","9.00","0","0","107","250,000"
"2017/09/20","0.00","0.00","0.00",0.00,"13.05","-0.35","10.00","0","0","107","250,000"
"2017/09/19","13.50","13.50","13.25",13.40,"13.40","-0.50","11.00","14","47","107","250,000"
"2017/09/18","14.90","14.90","13.90",13.90,"13.90","-5.70","11.00","6","22","95","250,000"
"2017/09/15","18.90","18.90","17.00",17.00,"19.60","0.00","10.00","5","23","89","250,000"
"2017/09/14","19.40","19.60","19.40",19.60,"19.60","1.00","11.00","3","15","94","250,000"
"2017/09/13","19.20","19.20","18.60",18.60,"18.60","-1.30","11.00","3","14","91","250,000"
"2017/09/12","19.80","19.90","19.70",19.90,"19.90","-0.10","11.00","3","15","90","250,000"
"2017/09/11","19.90","20.00","19.90",20.00,"20.00","-3.35","12.00","3","15","89","250,000"
"2017/09/08","22.85","22.85","22.85",22.85,"23.35","0.00","12.00","1","6","86","250,000"
"2017/09/07","25.15","25.15","23.35",23.35,"23.35","-3.35","13.00","2","12","85","250,000"
"2017/09/06","26.70","26.70","26.70",26.70,"26.70","0.85","13.00","1","7","87","250,000"
"2017/09/05","25.85","25.85","25.85",25.85,"25.85","-0.65","12.00","1","6","86","250,000"
"2017/09/04","0.00","0.00","0.00",0.00,"26.50","3.85","14.00","0","0","85","250,000"
"2017/09/01","0.00","0.00","0.00",0.00,"22.65","1.80","12.00","0","0","85","250,000"
"2017/08/31","0.00","0.00","0.00",0.00,"20.85","0.00","13.00","0","0","85","250,000"
"2017/08/30","0.00","0.00","0.00",0.00,"20.85","-1.80","11.00","0","0","85","250,000"
"2017/08/29","0.00","0.00","0.00",0.00,"22.65","1.35","13.00","0","0","85","250,000"
"2017/08/28","0.00","0.00","0.00",0.00,"21.30","1.95","12.00","0","0","85","250,000"
"2017/08/25","19.50","19.50","19.50",19.50,"19.35","0.00","11.00","1","5","85","250,000"
"2017/08/24","19.35","19.35","19.35",19.35,"19.35","-1.65","11.00","1","5","84","250,000"
"2017/08/23","0.00","0.00","0.00",0.00,"21.00","-0.10","11.00","0","0","83","250,000"
"2017/08/22","0.00","0.00","0.00",0.00,"21.10","-1.40","11.00","0","0","83","250,000"
"2017/08/21","0.00","0.00","0.00",0.00,"22.50","0.80","12.00","0","0","83","250,000"
"2017/08/18","23.20","23.20","22.00",22.00,"21.70","0.00","12.00","2","11","83","250,000"
"2017/08/17","21.70","21.70","21.70",21.70,"21.70","-1.70","11.00","1","5","85","250,000"
"2017/08/16","23.40","23.40","23.40",23.40,"23.40","-5.85","12.00","1","6","86","250,000"
"2017/08/14","25.70","25.70","25.40",25.40,"29.25","5.30","12.00","15","96","87","250,000"
"2017/08/11","0.00","0.00","0.00",0.00,"23.95","0.00","16.00","0","0","102","250,000"
"2017/08/10","21.95","24.75","21.75",23.95,"23.95","2.95","12.00","10","58","102","250,000"
"2017/08/09","21.00","21.00","21.00",21.00,"21.00","3.50","11.00","1","5","108","250,000"
"2017/08/08","17.70","17.70","17.50",17.50,"17.50","-2.30","10.00","4","18","107","250,000"
"2017/08/07","0.00","0.00","0.00",0.00,"19.80","-0.55","14.00","0","0","105","250,000"
"2017/08/04","18.25","18.25","17.70",17.70,"20.35","0.00","11.00","2","9","105","250,000"
"2017/08/03","0.00","0.00","0.00",0.00,"20.35","6.05","13.00","0","0","107","250,000"
"2017/08/02","0.00","0.00","0.00",0.00,"14.30","-0.50","10.00","0","0","107","250,000"
"2017/08/01","14.50","14.80","14.50",14.80,"14.80","-4.40","10.00","4","15","107","250,000"
"2017/07/31","17.50","17.50","17.50",17.50,"19.20","7.30","10.00","1","4","103","250,000"
"2017/07/28","0.00","0.00","0.00",0.00,"11.90","0.00","13.00","0","0","104","250,000"
"2017/07/27","0.00","0.00","0.00",0.00,"11.90","-0.60","9.00","0","0","104","250,000"
"2017/07/26","0.00","0.00","0.00",0.00,"12.50","0.60","9.00","0","0","104","250,000"
"2017/07/25","0.00","0.00","0.00",0.00,"11.90","1.30","8.00","0","0","104","250,000"
"2017/07/24","0.00","0.00","0.00",0.00,"10.60","-1.70","8.00","0","0","104","250,000"
"2017/07/21","12.40","12.90","12.40",12.90,"12.30","0.00","11.00","29","92","104","250,000"
"2017/07/20","0.00","0.00","0.00",0.00,"12.30","-0.80","9.00","0","0","75","250,000"
"2017/07/19","0.00","0.00","0.00",0.00,"13.10","-0.65","9.00","0","0","75","250,000"
"2017/07/18","0.00","0.00","0.00",0.00,"13.75","-1.35","9.00","0","0","75","250,000"
"2017/07/17","15.35","15.35","15.05",15.10,"15.10","0.10","11.00","8","30","75","250,000"
"2017/07/14","0.00","0.00","0.00",0.00,"15.00","0.00","9.00","0","0","67","250,000"
"2017/07/13","0.00","0.00","0.00",0.00,"15.00","-2.95","9.00","0","0","67","250,000"
"2017/07/12","0.00","0.00","0.00",0.00,"17.95","-2.35","10.00","0","0","67","250,000"
"2017/07/11","20.30","20.30","20.30",20.30,"20.30","-0.35","12.00","1","5","67","250,000"
"2017/07/10","0.00","0.00","0.00",0.00,"20.65","0.05","12.00","0","0","66","250,000"
"2017/07/07","0.00","0.00","0.00",0.00,"20.60","0.00","11.00","0","0","66","250,000"
"2017/07/06","0.00","0.00","0.00",0.00,"20.60","-0.25","12.00","0","0","66","250,000"
"2017/07/05","0.00","0.00","0.00",0.00,"20.85","-1.70","12.00","0","0","66","250,000"
"2017/07/04","0.00","0.00","0.00",0.00,"22.55","3.25","13.00","0","0","66","250,000"
"2017/07/03","0.00","0.00","0.00",0.00,"19.30","0.90","11.00","0","0","66","250,000"
"2017/06/30","0.00","0.00","0.00",0.00,"18.40","0.00","10.00","0","0","66","250,000"
"2017/06/29","0.00","0.00","0.00",0.00,"18.40","-2.05","9.00","0","0","66","250,000"
"2017/06/28","0.00","0.00","0.00",0.00,"20.45","0.80","10.00","0","0","66","250,000"
"2017/06/27","0.00","0.00","0.00",0.00,"19.65","-0.60","11.00","0","0","66","250,000"
"2017/06/26","0.00","0.00","0.00",0.00,"20.25","-1.30","11.00","0","0","66","250,000"
"2017/06/23","0.00","0.00","0.00",0.00,"21.55","0.00","10.00","0","0","66","250,000"
"2017/06/22","0.00","0.00","0.00",0.00,"21.55","-1.55","10.00","0","0","66","250,000"
"2017/06/21","0.00","0.00","0.00",0.00,"23.10","0.80","10.00","0","0","66","250,000"
"2017/06/20","0.00","0.00","0.00",0.00,"22.30","-0.25","11.00","0","0","66","250,000"
"2017/06/19","0.00","0.00","0.00",0.00,"22.55","-1.80","11.00","0","0","66","250,000"
"2017/06/16","0.00","0.00","0.00",0.00,"24.35","0.00","11.00","0","0","66","250,000"
"2017/06/15","0.00","0.00","0.00",0.00,"24.35","1.35","11.00","0","0","66","250,000"
"2017/06/14","0.00","0.00","0.00",0.00,"23.00","-0.15","11.00","0","0","66","250,000"
"2017/06/13","0.00","0.00","0.00",0.00,"23.15","-1.65","11.00","0","0","66","250,000"
"2017/06/12","0.00","0.00","0.00",0.00,"24.80","0.70","11.00","0","0","66","250,000"
"2017/06/09","0.00","0.00","0.00",0.00,"24.10","0.00","11.00","0","0","66","250,000"
"2017/06/08","0.00","0.00","0.00",0.00,"24.10","-1.65","10.00","0","0","66","250,000"
"2017/06/07","0.00","0.00","0.00",0.00,"25.75","2.75","12.00","0","0","66","250,000"
"2017/06/05","0.00","0.00","0.00",0.00,"23.00","-2.90","11.00","0","0","66","250,000"
"2017/06/02","0.00","0.00","0.00",0.00,"25.90","0.00","10.00","0","0","66","250,000"
"2017/06/01","0.00","0.00","0.00",0.00,"25.90","-1.80","10.00","0","0","66","250,000"
"2017/05/31","0.00","0.00","0.00",0.00,"27.70","0.00","10.00","0","0","66","250,000"
"2017/05/30","27.65","27.70","27.65",27.70,"27.70","3.15","14.00","12","83","66","250,000"
"2017/05/29","0.00","0.00","0.00",0.00,"24.55","-3.55","11.00","0","0","58","250,000"
"2017/05/26","26.70","26.70","25.20",25.20,"28.10","0.00","14.00","11","72","58","250,000"
"2017/05/25","28.00","28.10","28.00",28.10,"28.10","-0.25","14.00","4","28","63","250,000"
"2017/05/24","0.00","0.00","0.00",0.00,"28.35","-0.50","11.00","0","0","59","250,000"
"2017/05/23","30.65","30.65","28.65",28.85,"28.85","-0.80","14.00","8","58","59","250,000"
"2017/05/22","0.00","0.00","0.00",0.00,"29.65","-3.35","12.00","0","0","51","250,000"
"2017/05/19","0.00","0.00","0.00",0.00,"33.00","0.00","11.00","0","0","51","250,000"
"2017/05/18","32.60","33.00","32.60",33.00,"33.00","1.20","13.00","6","49","51","250,000"
"2017/05/17","31.50","31.80","31.50",31.80,"31.80","0.65","13.00","3","24","45","250,000"
"2017/05/16","31.40","31.60","31.15",31.15,"31.15","0.55","13.00","3","24","42","250,000"
"2017/05/15","0.00","0.00","0.00",0.00,"30.60","-3.10","11.00","0","0","39","250,000"
"2017/05/12","31.80","31.80","31.80",31.80,"33.70","0.00","13.00","8","64","39","250,000"
"2017/05/11","33.50","33.70","33.50",33.70,"33.70","2.20","14.00","5","42","31","250,000"
"2017/05/10","31.65","32.00","31.50",31.50,"31.50","0.00","14.00","26","207","26","250,000"
